,PC1,PC2,PC3,PC4,PC5
PTF,-43.03592288695016,-31.931204467378095,-1.009888030576804,-8.910191790302465,-34.040692300022855
QQEW,-7.71740688442606,18.354901003268576,-25.024015373174446,-8.86953809530648,1.8566109758927618
QQQ,85.93356708419554,346.11669982119525,42.01738527064428,-5.807617914888067,76.6129605843593
QQQE,-20.261718052506605,-13.594650935877613,-19.86528612044838,-12.829649860910871,0.1140568828224641
QQXT,-11.974350315677313,-17.474648515057957,-31.607697064422883,-16.62234825821653,17.67895793822106
QTEC,2.9766775923231057,82.97755961674173,-18.37022189567711,7.055702280798537,-17.024362106019357
QYLD,-35.836703501532035,-78.4326603510245,-14.9027575247638,-47.67902525136974,13.08713212000865
ROM,-64.85703231238418,-11.68189188239601,39.37532162356842,-18.81738044647471,-64.06850701644152
SKYY,-18.36133403917443,3.936667438588193,-10.174200054452418,-6.460523747889926,-18.390368333129818
SMH,-9.887274927223999,112.41688726424935,-0.9694359450690971,15.18477338157598,-19.644189306378735
SNSR,-42.357238601643395,-63.204530505809096,-10.106850040180912,-7.300076682796578,-7.044087059227799
SOXL,-123.0564656308048,-2.1917577770931818,181.51678966611516,32.95100110362424,-67.37857962888016
SOXS,945.4383367117786,-131.3012207730455,115.8899310243677,-29.59197886879869,-90.47264960250631
SOXX,-2.108706161069254,111.47642102659377,-6.200952368591144,16.870791666284504,-19.5587131136599
SUSA,-10.736121545302316,5.425890767234214,-29.79943688066401,-25.496462062338782,8.308062558465748
TDIV,-27.581104426486988,-30.680474510863885,-18.13815940835388,-21.41980164208414,2.3385439340352283
TECL,-84.93225300210386,24.374550557357978,84.33884053441274,-18.221372905936132,-97.63581730787544
TECS,397.2362801801409,-8.759287697298754,-95.4730180629865,33.02625191851322,151.13343931378617
TLTD,-17.367033911122906,-46.665837429194745,-33.728179785875625,-6.473959872399262,33.147678468571954
TLTE,-21.415250323753323,-65.67124724595746,-26.22375204017218,21.198702570549294,38.44623355702245
TQQQ,-96.4372261500099,61.401586539376815,386.44572608187735,-102.34915120184499,142.88892143571434
USD,-97.92645029441493,-20.17668583100519,61.01590076342349,12.328719182748657,-91.68769158252582
VGT,109.71205804255038,406.49827115235934,-65.59363413071088,23.89795877106349,-11.901105953401453
VV,31.859316187257342,123.07822099271714,-48.1024537062019,-13.344148791737314,13.888870616274753
XLK,6.9181927755932,110.86509905821558,6.791847156222646,-22.300362651566637,10.110844077367625
XNTK,-1.7135146825417475,77.45694491645408,-15.310722929366428,11.562820970039283,-17.439196027997752
XSD,18.37385021583213,146.2011889296439,-24.5316187175898,34.76610941023714,-25.563295688883006
XSW,6.036717425912767,59.81387723110455,-26.518839027967466,3.0333038582147855,-17.930785730365603
XT,-27.22893423099657,-39.66310290851134,-16.502750217826648,-10.662876665725086,3.4864388165081146
